,imdb_id,title,isAdult,year,minutes,genres,imdb_av_rating,imdb_num_votes,worldwide,domestic
1335,tt0357111,RRRrrrr!!!,0,2004,94.0,"Adventure,Comedy,Crime",5.9,12474.0,13315054,54361.0
1336,tt0357277,Elektra,0,2005,97.0,"Action,Adventure,Crime",4.7,84159.0,56681566,24409722.0
1337,tt0357413,Anchorman: The Legend of Ron Burgundy,0,2004,94.0,Comedy,7.2,316104.0,90517748,85288303.0
1338,tt0357470,The Battle of Shaker Heights,0,2003,79.0,"Comedy,Drama,Romance",6.0,4109.0,280351,280351.0
1339,tt0357507,Boogeyman,0,2005,89.0,"Drama,Horror,Mystery",4.2,28975.0,67192859,46752382.0
1340,tt0357585,Decoys,0,2004,95.0,"Comedy,Horror,Sci-Fi",4.6,4429.0,84733,84733.0
1341,tt0357668,Sky Kids,0,2008,118.0,"Action,Adventure,Drama",6.9,2983.0,144680,144680.0
1342,tt0358082,Robots,0,2005,91.0,"Adventure,Animation,Comedy",6.3,126145.0,260696994,128200012.0
1343,tt0358135,Shall We Dance,0,2004,106.0,"Comedy,Drama,Music",6.1,41555.0,170128460,57890460.0
1344,tt0358273,Walk the Line,0,2005,136.0,"Biography,Drama,Music",7.8,221894.0,186438883,119519402.0
1345,tt0358349,Agent Cody Banks 2: Destination London,0,2004,100.0,"Action,Adventure,Comedy",4.5,13417.0,28818995,23630159.0
1346,tt0358647,Power Trip,0,2003,86.0,Documentary,7.4,201.0,39359,39359.0
1347,tt0359013,Blade: Trinity,0,2004,113.0,"Action,Horror,Sci-Fi",5.9,159827.0,129241130,52411906.0
1348,tt0359045,Bear Cub,0,2004,100.0,"Comedy,Drama",7.0,3447.0,345693,100133.0
1349,tt0359423,A Home at the End of the World,0,2004,97.0,"Drama,Romance",6.7,12940.0,1548955,1029872.0
1350,tt0359517,Johnson Family Vacation,0,2004,97.0,Comedy,4.5,6979.0,31326183,31203964.0
1351,tt0359950,The Secret Life of Walter Mitty,0,2013,114.0,"Comedy,Drama,Fantasy",7.3,281808.0,188133322,58236838.0
1352,tt0360009,Spartan,0,2004,106.0,"Action,Crime,Drama",6.5,28594.0,8112712,4434432.0
1353,tt0360025,Stella Street,0,2004,80.0,Comedy,5.8,424.0,4119,4119.0
1354,tt0360130,Undertow,0,2004,108.0,"Drama,Thriller",6.6,8153.0,143597,143597.0
1355,tt0360139,Chasing Liberty,0,2004,101.0,"Comedy,Romance",6.1,34979.0,12313323,12195626.0
1356,tt0360201,Wimbledon,0,2004,98.0,"Comedy,Romance,Sport",6.3,57551.0,41512007,17001133.0
1357,tt0360323,10th & Wolf,0,2006,107.0,"Crime,Drama,Thriller",6.3,5954.0,143451,54702.0
1358,tt0360486,Constantine,0,2005,121.0,"Action,Fantasy,Horror",7.0,288365.0,230884728,75976178.0
1359,tt0360717,King Kong,0,2005,187.0,"Action,Adventure,Drama",7.2,375616.0,550517357,218080025.0
1360,tt0360845,Notre musique,0,2004,80.0,Drama,6.9,2729.0,285354,139922.0
1361,tt0360916,The Real Cancun,0,2003,96.0,Documentary,2.8,3697.0,5345083,3825421.0
1362,tt0361089,Valiant,0,2005,76.0,"Adventure,Animation,Comedy",5.5,19821.0,61746888,19478106.0
1363,tt0361127,The Woodsman,0,2004,87.0,Drama,7.2,30941.0,4678405,1576231.0
1364,tt0361309,We Don't Live Here Anymore,0,2004,101.0,"Drama,Romance",6.3,8966.0,3361213,2041014.0
1365,tt0361411,Bride & Prejudice,0,2004,122.0,"Comedy,Drama,Musical",6.1,19331.0,24716440,6605592.0
1366,tt0361467,Confessions of a Teenage Drama Queen,0,2004,89.0,"Comedy,Family,Music",4.6,26399.0,33111460,29331068.0
1367,tt0361500,Delgo,0,2008,94.0,"Adventure,Animation,Comedy",4.3,2749.0,694782,694782.0
1368,tt0361596,Fahrenheit 9/11,0,2004,122.0,"Documentary,Drama,War",7.5,123744.0,222446882,119194771.0
1369,tt0361620,First Daughter,0,2004,106.0,"Comedy,Drama,Romance",5.0,20268.0,10592180,9055921.0
1370,tt0361693,Happy Endings,0,2005,128.0,"Comedy,Drama,Music",6.3,8765.0,1673288,1315701.0
